Parts,Package,Package Size,Configuration Type,Feature,Number of Lines,VRWM MAX (V),Cj (Typ) (pF),IPP (A) at 8/20Âµsec,VClamp (V) at Ipp 8/20Âµsec,VBR (Min)(V),IEC61000-4-2 (ESD) contact discharge,IEC61000-4-2 (ESD) air discharge, Working Voltage, Interface
"RClamp1501H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","15.00","3.10","34.00","28.00","17.50","30","30","13V - 33V","VBUS"
"RClamp1502B","SC-75 (SOT-523)","1.75 x 1.7 x 0.8","Array","Low capacitance","2","15.00","0.60","5.00","40.00","16.70","8","15","13V - 33V",""
"Rclamp1521H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","15.00","1.80","34.00","35.00","17.00","30","30","13V - 33V",""
"RClamp1521P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","15.00","0.30","4.00","30.00","16.70","8","15","13V - 33V","Antenna, USB"
"RClamp1521PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","15.00","0.30","4.00","35.00","16.70","8","15","13V - 33V","Antenna"
"RClamp1521ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","15.00","0.35","3.00","24.00","16.50","10","15","13V - 33V","Antenna"
"RClamp1531ZA","DFN0603-2","0.6 x 0.3 x 0.25","Unidirectional","Low capacitance","1","15.00","0.45","20.00","8.00","17.00","15","20","13V - 33V","USB"
"RClamp1561PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","15.00","0.25","2.00","35.00","16.50","10","15","13V - 33V","Antenna"
"RClamp1561PWQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","15.00","0.15","2.00","32.00","16.50","10","15","13V - 33V","Antenna"
"RClamp1624T","DFN1710-4","1.7 x 1.0 x 0.4","Array","Low capacitance","3","5.00","0.70","5.00","15.00","6.50","12","18","4V - 5.5V","USB"
"RClamp1631PQ","DFN1610-2","1.6 x 1.0 x 0.53","Bidirectional","Automotive","1","16.00","0.33","8.00","27.00","20.00","30","30","13V - 33V","Antenna"
"RClamp1644T","DFN1508-5","1.5 x 0.8 x 0.4","Array","Low capacitance","3","5.00","0.20","5.00","15.00","6.50","20","25","4V - 5.5V","USB"
"RClamp1654P","DFN1616-6","1.6 x 1.6 x 0.6","Array","Low capacitance","3","5.50","0.70","3.00","30.00","6.50","8","15","4V - 5.5V","USB"
"RClamp1851PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","18.00","0.37","4.00","4.50","18.50","17","20","13V - 33V","Antenna"
"RClamp1851ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","18.00","0.35","3.00","9.20","18.50","17","20","13V - 33V","Antenna"
"RClamp2261ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","22.00","0.35","18.00","10.50","24.00","25","30","13V - 33V","Antenna, USB"
"RClamp2271ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","22.00","0.15","2.00","6.00","24.00","8","15","13V - 33V","Antenna, USB"
"RClamp2272ZC","DFN0603-3","0.62 x 0.32 x 0.30","Bidirectional","Low capacitance","2","22.00","0.14","4.00","20.00","24.00","10","15","13V - 33V","Antenna, USB"
"RCLAMP2401H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","24.00","3.20","24.00","46.00","26.00","30","30","13V - 33V","VBUS"
"RClamp2402B","SC-75 (SOT-523)","1.6 x 1.6 x 0.75","Array","Low capacitance","2","24.00","0.60","4.00","50.00","26.70","15","25","13V - 33V",""
"RClamp2421H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","24.00","1.80","24.00","50.50","27.00","30","30","13V - 33V","USB"
"RClamp2431T","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","Low capacitance","1","24.00","0.35","2.00","50.00","26.70","8","13","13V - 33V","Antenna, USB"
"RClamp2431TQ","DFN1006-2","1.0 x 0.6 x 0.4","Bidirectional","Automotive","1","24.00","0.35","2.00","50.00","26.70","15","15","13V - 33V","Antenna"
"RClamp2451P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","24.00","0.38","4.00","4.60","25.50","10","18","13V - 33V","Antenna"
"RClamp2451ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","24.00","0.35","4.00","8.00","25.50","14","18","13V - 33V","Antenna, USB"
"RClamp2461ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","24.00","0.22","4.00","3.50","24.30","10","15","13V - 33V","Antenna"
"RClamp2502L","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","Low capacitance","2","2.50","10.00","40.00","20.00","2.70","15","25","1V - 3.6V","Ethernet"
"RClamp2504N","DFN2626-10","2.6 x 2.6 x 0.6","Array","Low capacitance","4","2.50","2.00","25.00","15.00","2.70","15","25","1V - 3.6V","Ethernet"
"RClamp2504P","DFN1616-6","1.6 x 1.6 x 0.58","Array","Low capacitance","4","2.50","0.40","5.00","13.00","2.70","12","20","1V - 3.6V","Ethernet"
"RClamp2511ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","2.50","0.50","8.00","7.00","6.00","30","30","1V - 3.6V","USB"
"RClamp2574N","DFN3020-10","3.0 x 2.0 x 0.6","Array","Low capacitance","4","2.50","1.70","40.00","20.00","2.70","30","30","1V - 3.6V","Ethernet"
"RClamp2574NQ","DFN3020-10","3.0 x 2.0 x 0.6","Array","Automotive","4","2.50","1.70","40.00","20.00","2.70","30","30","1V - 3.6V","Automotive Ethernet, Ethernet"
"RClamp2581ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","2.50","0.26","8.00","4.80","5.00","12","17","1V - 3.6V","USB"
"RClamp2594N","DFN3020-10","3.0 x 2.0 x 0.4","Array","Low capacitance","4","5.00","2.10","35.00","8.50","6.50","30","30","4V - 5.5V","Ethernet"
"RClamp2654P","DFN2626-10","1.6 x 1.6 x 0.58","Array","Low capacitance","3","4.00","0.40","4.00","10.00","4.20","15","18","4V - 5.5V","USB"
"RClamp2656P","DFN2018-6","2.0 x 1.8 x 0.57","Array","Low capacitance","3","5.00","0.28","3.00","20.00","6.50","15","15","4V - 5.5V","USB"
"RClamp2831PQ","DFN1610-2","1.6 x 1.0 x 0.53","Bidirectional","Automotive","1","28.00","0.35","7.00","39.00","31.50","30","30","13V - 33V","Antenna"
"RClamp3304NA","DFN2626-10","2.6 x 2.6 x 0.6","Array","Low capacitance","4","3.30","2.00","25.00","18.00","3.50","15","25","1V - 3.6V","Ethernet"
"RClamp3304P","DFN1616-6","1.6 x 1.6 x 0.58","Array","Low capacitance","4","3.30","0.40","5.00","13.00","3.50","12","20","1V - 3.6V","Ethernet"
"RClamp3311P","DFN1610-2","1.6 x 1.0 x 0.53","Bidirectional","Low capacitance","1","3.30","0.18","10.00","17.50","6.50","25","27","1V - 3.6V","Ethernet"
"RClamp3321P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","3.30","0.22","4.00","13.00","5.50","12","17","1V - 3.6V","USB"
"RClamp3324P","DFN2510-10","2.5 x 1.0 x 0.6","Array","Low capacitance","4","3.30","0.60","4.50","3.50","1.60","17","20","1V - 3.6V","USB"
"RClamp3324T","DFN1710-4","1.7 x 1.0 x 0.4","Array","Low capacitance","4","3.30","0.30","5.00","10.50","3.80","25","30","1V - 3.6V","HDMI, USB"
"RClamp3328P","DFN3810-9","3.8 x 1.0 x 0.5","Array","Low capacitance","8","3.30","0.30","5.00","10.50","3.80","25","30","1V - 3.6V","HDMI, USB"
"RClamp3331PQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","3.30","0.35","10.00","6.00","6.00","30","30","1V - 3.6V","Antenna, Automotive Ethernet, Automotive High Speed"
"RClamp3331Z2C","DFN0402-2","0.43 x 0.23 x 0.15","Bidirectional","Low capacitance","1","3.30","0.35","4.00","4.70","5.50","18","22","1V - 3.6V","USB"
"RClamp3331ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","3.30","0.35","4.00","7.50","5.50","18","20","1V - 3.6V","USB"
"RClamp3344T","DFN1308-5","1.3 x 0.8 x 0.4","Array","Low capacitance","4","3.30","0.30","4.00","6.50","7.50","17","20","1V - 3.6V","USB"
"RClamp3346P","DFN2708-7","2.7 x 0.8 x 0.5","Array","Low capacitance","6","3.30","0.30","4.50","4.50","7.00","17","20","1V - 3.6V","USB"
"RClamp3351ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","3.30","0.47","10.00","6.50","5.50","22","25","1V - 3.6V","USB"
"RClamp3354S","SOT23-5","3.10 x 2.80 x 1.45","Array","Low capacitance","4","3.30","2.00","25.00","16.00","3.50","30","30","1V - 3.6V","Ethernet"
"RClamp3361P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","3.30","0.20","7.00","6.50","5.50","12","15","1V - 3.6V","Ethernet"
"RClamp3361Z","DFN0603-2","0.62 x 0.32 x 0.30","Bidirectional","Low capacitance","1","3.30","0.18","7.00","8.50","5.50","12","15","1V - 3.6V",""
"RClamp3371ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","3.30","0.23","9.00","5.40","5.50","10","17","1V - 3.6V","USB"
"RClamp3374N","DFN3020-10","3.0 x 2.0 x 0.6","Array","Low capacitance","4","3.30","1.70","40.00","25.00","3.50","30","30","1V - 3.6V","Ethernet"
"RClamp3382P","DFN1610-4","1.6 x 1.0 x 0.5","Array","Low capacitance","2","3.30","0.25","10.00","20.00","6.50","25","25","1V - 3.6V","Ethernet"
"RClamp3391ZC","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","3.30","0.17","7.00","5.00","5.50","8","15","1V - 3.6V","USB"
"RClamp3521P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","3.50","0.33","4.00","13.00","4.50","12","17","1V - 3.6V",""
"RClamp3521ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","3.50","0.45","6.00","5.00","5.50","20","25","1V - 3.6V","USB"
"RClamp3552T","DFN1006-3","1.0 x 0.6 x 0.4","Array","Low capacitance","2","3.50","0.30","4.00","6.50","7.50","17","20","1V - 3.6V","USB"
"RClamp3552TQ","DFN1006-3","1.0 x 0.6 x 0.4","Array","Automotive","2","3.50","0.30","4.00","6.50","7.50","17","20","1V - 3.6V","Automotive Ethernet, Automotive High Speed"
"RClamp3601H","SOD323","2.7 x 1.4 x 1.1","Unidirectional","Low capacitance","1","36.00","3.30","14.00","59.00","37.00","30","30","36V - 58V",""
"Rclamp3621H","SOD323","2.7 x 1.4 x 1.1","Bidirectional","Low capacitance","1","36.00","1.80","15.00","65.00","38.00","30","30","36V - 58V",""
"RClamp3624T","DFN1710-4","1.7 x 1.0 x 0.4","Array","Low capacitance","3","5.28","0.70","6.00","12.50","6.50","12","18","4V - 5.5V","USB"
"RClamp3631P","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Low capacitance","1","3.63","0.35","10.00","6.00","6.00","30","30","1V - 3.6V","Antenna, Ethernet, USB"
"RClamp3654PA","DFN1616-6","1.6 x 1.6 x 0.58","Array","Low capacitance","3","5.50","0.70","3.00","30.00","6.50","8","15","4V - 5.5V","USB"
"RClamp3655P","DFN3313-8","3.3 x 1.3 x 0.5","Array","Low capacitance","4","5.00","0.70","5.00","15.00","6.50","12","18","4V - 5.5V","USB"
"RClamp3951ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","3.30","0.45","10.00","5.20","7.00","25","30","1V - 3.6V","USB"
"RClamp4021ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","4.00","0.45","8.00","8.00","5.50","20","25","4V - 5.5V","USB"
"RClamp4041ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","4.00","0.53","20.00","5.60","6.00","30","30","4V - 5.5V","USB"
"RClamp5011ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","5.00","0.40","4.00","12.50","6.50","15","18","4V - 5.5V","HDMI, USB"
"RClamp5031T","DFN0806-2","0.8 x 0.6 x 0.4","Unidirectional","Low capacitance","1","5.00","0.35","3.00","10.00","6.50","15","18","4V - 5.5V",""
"RClamp5031ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","5.00","0.35","4.00","13.00","6.50","17","24","4V - 5.5V","HDMI, USB"
"RClamp5041ZA","DFN0603-2","0.6 x 0.3 x 0.25","Bidirectional","Low capacitance","1","5.00","0.58","9.00","15.00","8.00","30","30","4V - 5.5V","HDMI, USB"
"RClamp7522T","DFN1007-5","1.0 x 0.7 x 0.4","Array","Low capacitance","2","5.00","0.25","4.00","25.00","6.50","15","25","4V - 5.5V","USB"
"RClamp7524T","DFN1308-5","1.3 x 0.8 x 0.4","Array","Low capacitance","4","5.00","0.25","5.00","15.00","6.50","25","30","4V - 5.5V","HDMI, USB"
"RClamp7528T","DFN2611-9","2.6 x 1.1 x 0.4","Array","Low capacitance","8","5.00","0.25","5.00","15.00","6.50","20","25","4V - 5.5V","HDMI"
"RClamp7534P","DFN2010-5","2.0 x 1.0 x 0.6","Array","Low capacitance","4","5.00","0.19","4.00","25.00","6.50","20","25","4V - 5.5V","HDMI, USB"
"RClamp7535M","MSOP 10L","4.9 x 3.1 x 1.1","Array","Low capacitance","8","2.50","2.00","30.00","10.00","2.70","15","25","1V - 3.6V",""
"RClamp7538P","DFN3810-9","3.8 x 1.0 x 0.5","Array","Low capacitance","8","5.00","0.25","5.00","15.00","6.50","20","25","4V - 5.5V","HDMI"
"RClamp8512N","DFN4017-13","4.0 x 1.7 x 0.60","Array","Low capacitance","2","2.50","2.00","15.00","9.00","2.70","18","25","1V - 3.6V",""
"SD05","SOD323","2.7 x 1.4 x 1.1","Unidirectional","General purpose ESD protection","1","5.00","350.00","24.00","14.50","6.00","10","25","4V - 5.5V",""
"SD05C","SOD323","2.7 x 1.4 x 1.1","Bidirectional","General purpose ESD protection","1","5.00","200.00","24.00","14.50","6.00","8","15","4V - 5.5V",""
"SD12","SOD323","2.7 x 1.4 x 1.1","Unidirectional","General purpose ESD protection","1","12.00","150.00","15.00","25.00","13.30","10","25","6V - 12V",""
"SD12C","SOD323","2.7 x 1.4 x 1.1","Bidirectional","General purpose ESD protection","1","12.00","100.00","15.00","24.00","13.30","8","15","6V - 12V",""
"SD15C","SOD323","2.7 x 1.4 x 1.1","Bidirectional","General purpose ESD protection","1","15.00","75.00","12.00","29.00","16.70","8","15","13V - 33V",""
"SD24C","SOD323","2.7 x 1.4 x 1.1","Bidirectional","General purpose ESD protection","1","24.00","50.00","8.00","44.00","26.70","8","15","13V - 33V",""
"SDC15","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","General purpose ESD protection","2","12.80","120.00","10.00","24.00","14.30","8","15","6V - 12V",""
"SDC36","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","General purpose ESD protection","2","33.00","45.00","4.00","55.00","36.00","8","15","13V - 33V",""
"SDC36C","SOT-23-3","2.92 x 2.80 x 1.25","Unidirectional","General purpose ESD protection","1","33.00","120.00","4.00","45.00","35.00","8","15","13V - 33V",""
"SL05","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","Low capacitance","1","5.00","5.00","17.00","11.00","6.00","8","15","4V - 5.5V",""
"SL12","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","Low capacitance","1","12.00","5.00","12.00","24.00","13.30","8","15","6V - 12V",""
"SL15","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","Low capacitance","1","15.00","5.00","10.00","30.00","16.70","8","15","13V - 33V",""
"SL24","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","Low capacitance","1","24.00","5.00","5.00","55.00","26.70","8","15","13V - 33V",""
"SLVU2.8","SOT23-3","3.0 x 2.6 x 1.02","Unidirectional","General purpose ESD protection","1","2.80","70.00","24.00","12.50","3.00","8","15","1V - 3.6V",""
"SLVU2.8-4","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","4","2.80","5.00","24.00","15.00","3.00","15","25","1V - 3.6V","Ethernet"
"SLVU2.8-8","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","4","2.80","8.00","30.00","17.00","3.00","25","30","1V - 3.6V","Ethernet"
"SLVU2.8Q","SOT23-3","2.9 x 2.37 x 1.00","Unidirectional","Automotive","1","2.80","40.00","24.00","12.50","100.00","25","30","1V - 3.6V",""
"SM712","SOT23-3","3.0 x 2.6 x 1.02","Bidirectional","General purpose ESD protection","2","12.00","35.00","21.00","19.00","13.30","30","30","6V - 12V","RS-485"
"SMDA05","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","4","5.00","400.00","17.00","9.80","6.00","8","15","4V - 5.5V",""
"SMDA05-6","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Unidirectional","General purpose ESD protection","6","5.00","400.00","17.00","9.80","6.00","8","15","4V - 5.5V",""
"SMDA05C-7","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","7","5.00","350.00","17.00","9.80","6.00","8","15","4V - 5.5V",""
"SMDA05C-8","SO-14","8.75 x 6.0 x 1.75","Bidirectional","General purpose ESD protection","8","5.00","350.00","17.00","9.80","6.00","8","15","4V - 5.5V",""
"SMDA12","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Unidirectional","General purpose ESD protection","4","12.00","150.00","12.00","24.00","13.30","8","15","6V - 12V",""
"SMDA12C","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","4","12.00","120.00","12.00","24.00","13.30","8","15","6V - 12V",""
"SMDA12C-7","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","7","12.00","120.00","12.00","19.00","13.30","8","15","6V - 12V",""
"SMDA12C-8","SO-14","8.75 x 6.0 x 1.75","Bidirectional","General purpose ESD protection","8","12.00","120.00","12.00","19.00","13.30","8","15","6V - 12V",""
"SMDA15C","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","4","15.00","75.00","10.00","30.00","16.70","8","15","13V - 33V",""
"SMDA15C-8","SO-14","8.75 x 6.0 x 1.75","Bidirectional","General purpose ESD protection","8","15.00","75.00","10.00","24.00","16.70","8","15","13V - 33V",""
"SMDA24","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Unidirectional","General purpose ESD protection","4","24.00","60.00","5.00","55.00","26.70","8","15","13V - 33V",""
"SMDA24C","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","5","24.00","50.00","5.00","55.00","26.70","8","15","13V - 33V",""
"SMDA24C-5","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","General purpose ESD protection","5","24.00","50.00","1.00","43.00","26.70","8","15","13V - 33V",""
"SMDA24C-7","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Bidirectional","General purpose ESD protection","7","24.00","50.00","5.00","43.00","26.70","8","15","13V - 33V",""
"SMDA24C-8","SO-14","8.75 x 6.0 x 1.75","Bidirectional","General purpose ESD protection","8","24.00","50.00","5.00","43.00","26.70","8","15","13V - 33V",""
"SMF05C","SC-70 5L","2.1 x 2.1 x 1.1","Unidirectional","General purpose ESD protection","5","5.00","130.00","8.00","12.50","6.00","15","20","4V - 5.5V",""
"SMF12","SC-70 5L","2.1 x 2.1 x 1.1","Unidirectional","General purpose ESD protection","4","12.00","60.00","8.00","25.00","13.30","15","20","6V - 12V",""
"SMF3.3","SC-70 5L","2.1 x 2.1 x 1.1","Unidirectional","General purpose ESD protection","4","3.30","12.00","5.00","8.00","8.00","8","15","1V - 3.6V",""
"SMS05","SOT23-6","2.9 x 2.8 x 1.45","Unidirectional","General purpose ESD protection","4","5.00","325.00","24.00","14.50","6.00","8","15","4V - 5.5V",""
"SMS12","SOT23-6","2.9 x 2.8 x 1.45","Unidirectional","General purpose ESD protection","4","12.00","135.00","15.00","23.00","13.30","8","15","6V - 12V",""
"SMS15","SOT23-6","2.9 x 2.8 x 1.45","Unidirectional","General purpose ESD protection","4","15.00","100.00","12.00","29.00","16.70","8","15","13V - 33V",""
"SMS24","SOT23-6","2.9 x 2.8 x 1.45","Unidirectional","General purpose ESD protection","4","24.00","60.00","8.00","44.00","26.70","8","15","13V - 33V",""
"SMS3.3","SOT23-6","2.9 x 2.8 x 1.45","Unidirectional","General purpose ESD protection","4","3.30","35.00","12.00","8.70","3.50","8","15","1V - 3.6V",""
"SR05","SOT143","3.04 x 2.64 x 1.22","Array","Low capacitance","2","5.00","3.00","25.00","20.00","6.00","8","15","4V - 5.5V","USB"
"SR12","SOT143","3.04 x 2.64 x 1.22","Array","Low capacitance","2","12.00","3.00","16.00","31.00","13.30","8","15","6V - 12V",""
"SR2.8","SOT143","3.04 x 2.64 x 1.22","Array","General purpose ESD protection","2","2.80","6.00","14.00","16.50","3.00","8","15","1V - 3.6V",""
"SR3.3","SOT143","3.04 x 2.64 x 1.22","Array","General purpose ESD protection","2","3.30","6.00","10.00","15.00","3.50","8","15","1V - 3.6V",""
"SR70","SOT143","3.04 x 2.64 x 1.22","Array","Low capacitance","2","70.00","3.00","24.00","7.00","85.00","8","15","60V+",""
"SRDA05-4","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","Low capacitance","4","5.00","4.00","25.00","20.00","6.00","8","15","4V - 5.5V",""
"SRDA05-6","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","Low capacitance","6","5.00","4.00","25.00","20.00","6.00","8","15","4V - 5.5V",""
"SRDA12-4","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","Low capacitance","4","12.00","4.00","20.00","25.00","13.30","8","15","6V - 12V",""
"SRDA3.3-4","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","General purpose ESD protection","4","3.30","4.00","25.00","15.00","3.50","8","15","1V - 3.6V",""
"SRDA3.3-6","SO-8 (SOIC-8)","6.0 x 5.0 x 1.75","Array","General purpose ESD protection","6","3.30","4.00","25.00","15.00","3.50","8","15","1V - 3.6V",""
"SRV05-4","SOT23-6","6.0 x 5.0 x 1.75","Array","Low capacitance","4","5.00","1.50","12.00","21.00","6.00","8","15","4V - 5.5V","Ethernet, USB"
"STF203","SC-70 6L","2.1 x 2.1 x 1.1","Array","ESD & EMI filter devices","3","5.25","60.00","0.00","0.00","6.00","10","16","4V - 5.5V","USB"
"SVS03331P1RBQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","General purpose ESD protection","1","3.30","0.37","10.00","5.30","6.00","30","30","1V - 3.6V","Automotive High Speed"
"SVS0521P1RBQ","DFN1006-2","1.0 x 0.6 x 0.5","Bidirectional","Automotive","1","5.00","0.25","3.00","14.50","6.00","25","30","4V - 5.5V","Antenna, Automotive High Speed, Ethernet"
"SVS0524PARU","DFN2510-10","2.5 x 1.0 x 0.55","Bidirectional","General purpose ESD protection","4","5.00","0.43","6.00","15.00","6.00","15","20","4V - 5.5V",""
"SVS0541P1UU","DFN1006-2","1.0 x 0.6 x 0.5","Unidirectional","General purpose ESD protection","1","5.00","140.00","18.00","13.00","6.00","30","30","4V - 5.5V",""
"SVS0571P3UU","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","5.00","800.00","80.00","14.50","6.00","30","30","4V - 5.5V","VBUS"
"SVS1071P3UU","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","10.00","350.00","60.00","25.00","12.00","30","30","6V - 12V","VBUS"
"SVS1271P3UU","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","12.00","300.00","45.00","30.00","14.00","30","30","6V - 12V","VBUS"
"SVS1571P3UU","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","15.00","250.00","40.00","40.00","17.50","30","30","13V - 33V","VBUS"
"SVS1871P3UU","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","18.00","250.00","35.00","40.00","20.00","30","30","13V - 33V","VBUS"
"SVS3671P3UU","DFN1610-2","1.6 x 1.0 x 0.5","Unidirectional","General purpose ESD protection","1","36.00","150.00","18.00","80.00","37.00","30","30","36V - 58V","VBUS"
"SVS6514PAUB","DFN2510-10","2.5 x 1.0 x 0.55","Array","Low capacitance","4","60.00","8.50","2.00","100.00","65.00","8","15","60V+",""
"SVSM712S","SOT-23-3","3.0 x 2.6 x 1.02","Bidirectional","General purpose ESD protection","2","12.00","79.00","40.00","14.30","7.50","30","30","6V - 12V","RS-485"
"TClamp0882S","SOT23-6","2.9 x 2.8 x 1.45","Array","General purpose ESD protection","2","8.00","0.15","30.00","9.50","13.50","30","30","6V - 12V",""
"TClamp1202P","DFN2020-5","2.0 x 2.0 x 0.6","Array","General purpose ESD protection","2","12.00","12.00","100.00","40.00","13.30","15","20","6V - 12V","RS-485"
