Product or Part number,Vrwm (V),PDF datasheet,HTML datasheet,Number of channels,Bi-/uni-directional,Package name,Peak pulse power (8/20 μs) (max) (W),IO capacitance (typ) (pF),IEC 61000-4-2 contact (k±V),IEC 61000-4-5 (A),Clamping voltage (V),Price|Quantity (USD),Pin count,Status
ESD441W-Q1,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN1006,45.0,1.0,30000.0,6.0,8.2,0.043,2.0,ACTIVE
ESD451W-Q1,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,57.0,0.5,30000.0,6.0,11.5,0.044,2.0,ACTIVE
TVS5200,52.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,WSON,1875.0,154.0,15000.0,30.0,58.6,0.195,6.0,ACTIVE
ESD2CAN24W-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,210.0,3.0,30000.0,4.7,37.0,0.106,3.0,ACTIVE
ESD2CAN36W-Q1,36.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,233.0,3.0,20000.0,3.8,66.0,0.088,3.0,ACTIVE
ESD2CANFD24W-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,133.0,2.0,22000.0,3.5,37.0,0.094,3.0,ACTIVE
ESD2CANXL24W-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,90.0,1.7,20000.0,2.5,36.0,0.091,3.0,ACTIVE
BZX84C33V-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,30.0,,,,0.036,3.0,ACTIVE
BZX84WC33V,,PDF datasheet,HTML datasheet,1.0,,SOT-SC70,,30.0,,,,0.034,3.0,ACTIVE
BZX84WC33V-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-SC70,,30.0,,,,0.041,3.0,ACTIVE
BZX884C33V,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,30.0,,,,0.026,2.0,ACTIVE
BZX884C33V-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,30.0,,,,0.032,2.0,ACTIVE
ESD411,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN0603,13.0,0.3,10000.0,1.5,7.4,0.052,2.0,ACTIVE
BZX884C18V,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,70.0,,,,0.026,2.0,ACTIVE
BZX884C18V-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,70.0,,,,0.032,2.0,ACTIVE
BZX884C16V,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,75.0,,,,0.026,2.0,ACTIVE
BZX884C16V-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,75.0,,,,0.032,2.0,ACTIVE
ESD772,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,133.0,2.0,23000.0,3.0,42.0,0.076,3.0,ACTIVE
BZX884C27V,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,35.0,,,,0.026,2.0,ACTIVE
BZX884C27V-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,35.0,,,,0.032,2.0,ACTIVE
BZX884C39V,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,25.0,,,,0.026,2.0,ACTIVE
BZX884C39V-Q1,,PDF datasheet,HTML datasheet,,,DFN1006,,25.0,,,,0.032,2.0,ACTIVE
TVS5800,58.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,WSON,1180.0,150.0,15000.0,25.0,75.0,0.195,6.0,ACTIVE
BZX884C15V,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,68.0,,,,0.026,2.0,ACTIVE
BZX884C15V-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,68.0,,,,0.032,2.0,ACTIVE
BZX84C33V,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,30.0,,,,0.03,3.0,ACTIVE
BZX884C5V6,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,300.0,,,,0.026,2.0,ACTIVE
BZX884C5V6-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,300.0,,,,0.032,2.0,ACTIVE
BZX884C6V8,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,200.0,,,,0.026,2.0,ACTIVE
BZX884C6V8-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,200.0,,,,0.032,2.0,ACTIVE
BZX884C8V2,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,80.0,,,,0.026,2.0,ACTIVE
BZX884C8V2-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,80.0,,,,0.032,2.0,ACTIVE
BZX884C9V1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,150.0,,,,0.026,2.0,ACTIVE
BZX884C9V1-Q1,,PDF datasheet,HTML datasheet,1.0,,DFN1006,,150.0,,,,0.032,2.0,ACTIVE
BZX84C16V,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,75.0,,,,0.03,3.0,ACTIVE
BZX84C16V-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,75.0,,,,0.036,3.0,ACTIVE
BZX84C18V,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,70.0,,,,0.03,3.0,ACTIVE
BZX84C18V-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,70.0,,,,0.036,3.0,ACTIVE
BZX84C5V6,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,300.0,,,,0.03,3.0,ACTIVE
BZX84C5V6-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,300.0,,,,0.036,3.0,ACTIVE
BZX84C6V8,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,200.0,,,,0.03,3.0,ACTIVE
BZX84C6V8-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,200.0,,,,0.036,3.0,ACTIVE
BZX84C9V1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,150.0,,,,0.03,3.0,ACTIVE
BZX84C9V1-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,150.0,,,,0.036,3.0,ACTIVE
TVS2210,22.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN1006,700.0,59.0,8000.0,25.0,28.0,0.125,2.0,ACTIVE
BZX84WC16V-Q1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,50.0,,,,0.038,3.0,ACTIVE
BZX84WC18V-Q1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,45.0,,,,0.038,3.0,ACTIVE
BZX84WC5V6-Q1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,20.0,,,,0.038,3.0,ACTIVE
BZX84WC6V8-Q1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,120.0,,,,0.038,3.0,ACTIVE
BZX84WC9V1-Q1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,90.0,,,,0.038,3.0,ACTIVE
BZX84WC16V,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,50.0,,,,0.031,,ACTIVE
BZX84WC18V,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,45.0,,,,0.031,3.0,ACTIVE
BZX84WC5V6,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,20.0,,,,0.031,3.0,ACTIVE
BZX84WC6V8,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,120.0,,,,0.031,3.0,ACTIVE
BZX84WC9V1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,90.0,,,,0.031,3.0,ACTIVE
MMBZ27VAL,22.0,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-3,350.0,60.0,30000.0,11.4,38.0,0.045,3.0,ACTIVE
TSD12-Q1,12.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,300.0,12.0,30000.0,18.0,23.0,0.097,2.0,ACTIVE
TSD15-Q1,15.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,300.0,12.0,30000.0,15.0,31.0,0.097,2.0,ACTIVE
TSD18-Q1,18.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,300.0,12.0,30000.0,15.0,31.0,0.097,2.0,ACTIVE
TSD24-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,250.0,12.0,30000.0,9.0,39.0,0.097,2.0,ACTIVE
TSD36-Q1,36.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,600.0,17.0,30000.0,15.0,46.0,0.097,2.0,ACTIVE
MMBZ15VAL,12.0,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-3,,105.0,30000.0,,20.0,0.045,3.0,ACTIVE
MMBZ15VAL-Q1,12.0,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-3,,105.0,30000.0,,20.0,0.065,3.0,ACTIVE
MMBZ27VAL-Q1,22.0,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-3,350.0,60.0,30000.0,11.4,38.0,0.065,3.0,ACTIVE
BZX84WC15V,,PDF datasheet,HTML datasheet,,,SC70-3,,68.0,,,,0.031,3.0,ACTIVE
BZX84WC15V-Q1,,PDF datasheet,HTML datasheet,,,SC70-3,,68.0,,,,0.038,3.0,ACTIVE
TSD12,12.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,300.0,12.0,30000.0,18.0,23.0,0.079,2.0,ACTIVE
TSD15,15.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,300.0,12.0,30000.0,15.0,31.0,0.079,2.0,ACTIVE
TSD18,18.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,300.0,12.0,30000.0,15.0,31.0,0.079,2.0,ACTIVE
TSD24,24.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,250.0,12.0,30000.0,9.0,39.0,0.079,2.0,ACTIVE
TSD36,36.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,600.0,17.0,30000.0,15.0,46.0,0.079,2.0,ACTIVE
TSM36A-Q1,36.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOT-23-3,2000.0,50.0,30000.0,41.0,57.0,0.132,3.0,ACTIVE
TSM36CA-Q1,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOT-23-3,1100.0,15.0,30000.0,20.0,58.0,0.137,3.0,ACTIVE
BZX84WC39V-Q1,,PDF datasheet,HTML datasheet,,,SC70-3,,25.0,,,,0.038,3.0,ACTIVE
BZX84C39V-Q1,,PDF datasheet,HTML datasheet,,,SOT-23-3,,25.0,,,,0.036,3.0,ACTIVE
BZX84WC39V,,PDF datasheet,HTML datasheet,,,SC70-3,,80.0,,,,0.031,3.0,ACTIVE
ESD562-Q1,12.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,70.0,1.5,22000.0,3.5,20.0,0.08,3.0,ACTIVE
TSD03,3.6,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,170.0,4.5,30000.0,25.0,6.5,0.079,2.0,ACTIVE
BZX84WC27V,,PDF datasheet,HTML datasheet,,,SC70-3,,35.0,,,,0.031,3.0,ACTIVE
BZX84WC27V-Q1,,PDF datasheet,HTML datasheet,,,SC70-3,,80.0,,,,0.038,3.0,ACTIVE
BZX84WC8V2,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,80.0,,,,0.031,3.0,ACTIVE
BZX84WC8V2-Q1,,PDF datasheet,HTML datasheet,1.0,,SC70-3,,80.0,,,,0.038,3.0,ACTIVE
ESD851-Q1,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.3,30000.0,6.5,47.0,0.076,2.0,ACTIVE
ESD801-Q1,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,210.0,0.3,15000.0,3.0,64.0,0.119,2.0,ACTIVE
BZX84C15V-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,68.0,,,,0.036,3.0,ACTIVE
BZX84C27V-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,35.0,,,,0.036,3.0,ACTIVE
BZX84C8V2-Q1,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,80.0,,,,0.036,3.0,ACTIVE
BZX84C15V,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,68.0,,,,0.03,3.0,ACTIVE
BZX84C27V,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,35.0,,,,0.03,3.0,ACTIVE
ESD801,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,210.0,0.3,15000.0,3.0,63.0,0.099,2.0,ACTIVE
BZX84C39V,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,25.0,,,,0.03,3.0,ACTIVE
TSD36C-Q1,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.2,30000.0,6.3,57.0,0.1,2.0,ACTIVE
BZX84C8V2,,PDF datasheet,HTML datasheet,1.0,,SOT-23-3,,80.0,,,,0.03,3.0,ACTIVE
ESD701-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,210.0,0.3,15000.0,3.0,42.0,0.116,2.0,ACTIVE
MMBZ30VCL,24.0,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-3,210.0,4.5,30000.0,5.7,31.0,0.059,3.0,ACTIVE
MMBZ30VCL-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-3,210.0,4.5,30000.0,5.7,31.0,0.074,3.0,ACTIVE
ESD501-Q1,12.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,30.0,0.3,15000.0,3.0,24.0,0.107,2.0,ACTIVE
ESD501,12.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,30.0,0.3,15000.0,3.0,24.0,0.089,2.0,ACTIVE
ESD701,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,210.0,0.3,15000.0,3.0,42.0,0.096,2.0,ACTIVE
TSD12C,12.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,390.0,6.5,30000.0,15.0,19.4,0.083,2.0,ACTIVE
TSD12C-Q1,12.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,390.0,6.5,30000.0,15.0,19.4,0.1,2.0,ACTIVE
TSD15C,15.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,390.0,6.7,30000.0,12.0,25.0,0.083,2.0,ACTIVE
TSD15C-Q1,15.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,390.0,6.7,30000.0,12.0,25.0,0.1,2.0,ACTIVE
TSD18C,18.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,390.0,6.7,30000.0,12.0,25.0,0.083,2.0,ACTIVE
TSD18C-Q1,18.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,390.0,6.7,30000.0,12.0,25.0,0.1,2.0,ACTIVE
TSD24C,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.3,30000.0,9.0,36.0,0.083,2.0,ACTIVE
TSD24C-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.3,30000.0,9.0,36.0,0.1,2.0,ACTIVE
ESD601,18.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,27.0,0.3,15000.0,2.7,33.0,0.094,2.0,ACTIVE
ESD601-Q1,18.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,30.0,0.3,15000.0,2.7,33.0,0.113,2.0,ACTIVE
ESD851,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.2,30000.0,6.3,57.0,0.065,2.0,ACTIVE
TSM36CA,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOT-23-3,1100.0,15.0,30000.0,20.0,58.0,0.099,3.0,ACTIVE
TSD36C,36.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.3,30000.0,6.3,57.0,0.083,2.0,ACTIVE
ESDS452-Q1,5.5,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,172.0,3.0,30000.0,18.0,8.0,0.097,3.0,ACTIVE
ESDS452,5.5,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,172.0,3.0,30000.0,18.0,8.0,0.076,3.0,ACTIVE
