Product or Part number,Vrwm (V),PDF datasheet,HTML datasheet,Number of channels,Bi-/uni-directional,Package name,Peak pulse power (8/20 μs) (max) (W),IO capacitance (typ) (pF),IEC 61000-4-2 contact (k±V),IEC 61000-4-5 (A),Clamping voltage (V),Price|Quantity (USD),Pin count,Status
ESD652,18.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,137.5,4.0,30000.0,5.5,22.0,0.075,3.0,ACTIVE
ESD652-Q1,18.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,133.0,4.0,30000.0,5.5,23.0,0.109,3.0,ACTIVE
ESD2CAN36-Q1,36.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,"SC70-3,SOT-23-3",210.0,2.8,25000.0,4.3,63.0,0.096,3.0,ACTIVE
ESD2CANFD36-Q1,36.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,"SC70-3,SOT-23-3",170.0,2.8,18000.0,3.0,64.0,0.093,3.0,ACTIVE
ESD562,12.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,75.0,1.5,22000.0,3.0,20.0,0.057,3.0,ACTIVE
ESDS552,12.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,600.0,9.5,30000.0,25.0,23.8,0.098,3.0,ACTIVE
ESDS311,3.6,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,170.0,4.5,30000.0,25.0,6.5,0.096,2.0,ACTIVE
ESD862,36.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,170.0,2.8,18000.0,3.0,64.0,0.074,3.0,ACTIVE
ESD852,36.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,210.0,2.8,25000.0,4.3,63.0,0.077,3.0,ACTIVE
TSM24A-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOT-23-3,2800.0,54.0,30000.0,60.0,"35,38",0.116,3.0,ACTIVE
TSM24CA-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOT-23-3,1200.0,14.0,30000.0,30.0,40.0,0.136,3.0,ACTIVE
TSM24B,24.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOT-23-3,1200.0,24.0,30000.0,20.0,37.0,0.09,3.0,ACTIVE
TSM24CA,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOT-23-3,1200.0,14.0,30000.0,30.0,40.0,0.11,3.0,ACTIVE
TSM24A,24.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOT-23-3,2800.0,54.0,30000.0,60.0,38.0,0.101,3.0,ACTIVE
TSD05,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOD323,530.0,19.0,30000.0,60.0,9.0,0.091,2.0,ACTIVE
TSD05C,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,400.0,4.0,30000.0,30.0,11.5,0.083,2.0,ACTIVE
ESD441,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,"DFN0603,DFN1006",45.0,1.0,30000.0,6.0,7.6,0.029,2.0,ACTIVE
ESD451,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,"DFN0603,DFN1006",57.0,0.5,30000.0,6.0,10.4,0.029,2.0,ACTIVE
ESD1LIN24-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,159.0,2.3,30000.0,4.4,37.0,0.069,2.0,ACTIVE
ESD761-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,65.0,1.1,15000.0,1.8,36.3,0.057,2.0,ACTIVE
ESD1LIN24,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD323,159.0,3.0,30000.0,3.5,40.0,0.053,2.0,ACTIVE
ESD761,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,65.0,1.1,15000.0,1.8,36.3,0.048,2.0,ACTIVE
ESD751-Q1,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD523,102.0,1.6,22000.0,2.8,41.5,0.068,2.0,ACTIVE
ESD2CANFD24,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,133.0,2.5,25000.0,3.5,36.0,0.073,3.0,ACTIVE
ESD2CANFD24-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,133.0,2.5,25000.0,3.5,36.0,0.106,3.0,ACTIVE
ESD751,24.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,SOD523,102.0,1.6,22000.0,2.8,36.5,0.049,2.0,ACTIVE
ESD2CANXL24-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-23-3,90.0,1.7,20000.0,2.5,38.0,0.088,3.0,ACTIVE
ESD762,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1110-3,90.0,1.7,20000.0,2.5,38.0,0.073,3.0,ACTIVE
TSM36A,36.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,SOT-23-3,2000.0,50.0,30000.0,41.0,57.0,0.095,3.0,ACTIVE
ESD2CAN24-Q1,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,"SC70-3,SOT-23-3",210.0,3.0,30000.0,5.7,35.0,0.104,3.0,ACTIVE
ESD752,24.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,"DFN1110-3,SC70-3,SOT-23-3",210.0,3.0,30000.0,5.7,35.0,0.085,3.0,ACTIVE
ESD341,3.6,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN0603,54.0,0.66,30000.0,5.4,8.8,0.029,2.0,ACTIVE
TPD1E01B04-Q1,3.6,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,27.0,0.2,15000.0,2.5,15.0,0.08,2.0,ACTIVE
TVS3301,33.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN3030,1100.0,54.0,8000.0,27.0,40.0,0.281,8.0,ACTIVE
TVS0701,7.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN3030,360.0,77.0,8000.0,30.0,11.0,0.231,8.0,ACTIVE
TVS1401,14.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN3030,600.0,68.0,8000.0,30.0,20.5,0.231,8.0,ACTIVE
TVS1801,18.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN3030,825.0,65.0,8000.0,30.0,27.4,0.231,8.0,ACTIVE
TVS2201,22.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN3030,850.0,62.0,8000.0,30.0,29.6,0.254,8.0,ACTIVE
TVS2701,27.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN3030,950.0,40.0,8000.0,27.0,34.0,0.266,8.0,ACTIVE
ESDS302,3.6,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-6,85.0,2.3,30000.0,12.0,5.5,0.116,5.0,ACTIVE
ESDS304,3.6,PDF datasheet,HTML datasheet,4.0,Uni-Directional,SOT-23-3,85.0,2.3,30000.0,12.0,6.0,0.132,5.0,ACTIVE
ESDS312,3.6,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-6,170.0,4.5,30000.0,25.0,6.5,0.104,5.0,ACTIVE
ESDS314,3.6,PDF datasheet,HTML datasheet,4.0,Uni-Directional,SOT-23-6,170.0,4.5,30000.0,25.0,5.5,0.161,5.0,ACTIVE
ESD321,3.6,PDF datasheet,HTML datasheet,1.0,Uni-Directional,"DFN1006,SOD523",40.0,0.9,30000.0,6.0,6.8,0.079,2.0,ACTIVE
ESD351,3.6,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN1006,36.0,1.8,30000.0,6.0,6.5,0.052,2.0,ACTIVE
ESD204,3.6,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN2510,50.0,0.55,30000.0,5.5,8.2,0.091,10.0,ACTIVE
ESD224,3.6,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN2510,17.0,0.5,12000.0,2.0,14.0,0.136,10.0,ACTIVE
TVS1800,18.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN2020,960.0,120.0,18000.0,40.0,23.8,0.165,6.0,ACTIVE
TVS2200,22.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN2020,1120.0,105.0,17000.0,40.0,27.75,0.165,6.0,ACTIVE
TVS2700,27.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN2020,1250.0,100.0,16000.0,40.0,33.0,0.19,6.0,ACTIVE
TVS1400,14.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN2020,820.0,120.0,21000.0,43.0,18.4,0.165,6.0,ACTIVE
TVS0500,5.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN2020,400.0,155.0,24000.0,43.0,9.2,0.165,6.0,ACTIVE
TPD4E02B04-Q1,3.6,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN2510,17.0,0.25,12000.0,2.0,6.6,0.224,10.0,ACTIVE
ESD401,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,67.0,0.77,24000.0,4.5,15.0,0.066,2.0,ACTIVE
ESD122,3.6,PDF datasheet,HTML datasheet,2.0,Bi-directional,DFN1006,20.0,0.2,17000.0,2.5,13.5,0.182,3.0,ACTIVE
TVS3300,33.0,PDF datasheet,HTML datasheet,1.0,Uni-Directional,"DSBGA,WSON",1330.0,130.0,11000.0,35.0,38.0,0.216,"4,6",ACTIVE
TPD1E05U06-Q1,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,DFN1006,30.0,0.4,12000.0,2.5,"10,23",0.093,2.0,ACTIVE
TPD1E10B06-Q1,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,"DFN1006,SOD523",90.0,12.0,30000.0,6.0,10.0,0.082,2.0,ACTIVE
TPD1E10B09-Q1,9.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,90.0,10.0,20000.0,5.5,13.0,0.105,2.0,ACTIVE
TPD1E1B04,3.6,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,50.0,1.0,30000.0,6.3,6.3,0.047,2.0,ACTIVE
TPD1E0B04,3.6,PDF datasheet,HTML datasheet,1.0,Bi-directional,"DFN0603,DFN1006",15.0,0.13,8000.0,1.7,7.2,0.07,2.0,ACTIVE
TPD1E01B04,3.6,PDF datasheet,HTML datasheet,1.0,Bi-directional,"DFN0603,DFN1006",27.0,0.18,15000.0,2.5,7.0,0.035,2.0,ACTIVE
TPD1E04U04,3.6,PDF datasheet,HTML datasheet,1.0,Uni-Directional,"DFN0603,DFN1006",19.0,0.5,16000.0,2.5,8.5,0.06,2.0,ACTIVE
TPD4E02B04,3.6,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN2510,17.0,0.25,12000.0,2.0,6.6,0.167,10.0,ACTIVE
TPD2E2U06-Q1,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SC70-3,SOT-23",75.0,1.5,25000.0,5.5,9.7,0.094,3.0,ACTIVE
TPD4E05U06-Q1,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,40.0,0.5,12000.0,2.5,10.0,0.2,10.0,ACTIVE
TPD4E6B06,5.5,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN0603,40.0,4.8,15000.0,3.0,10.0,0.068,4.0,ACTIVE
TPD4E110,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN0603,35.0,0.45,12000.0,2.5,10.0,0.105,4.0,ACTIVE
TPD2E1B06,5.5,PDF datasheet,HTML datasheet,2.0,Bi-directional,SOT-5X3,35.0,1.0,10000.0,2.5,11.0,0.122,6.0,ACTIVE
TPD6E05U06,5.5,PDF datasheet,HTML datasheet,6.0,Uni-Directional,UQFN,40.0,0.5,12000.0,2.5,10.0,0.304,14.0,ACTIVE
TPD2E2U06,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SC70-3,SOT-5X3",85.0,1.5,25000.0,5.5,9.7,0.07,"3,5",ACTIVE
TPD4E001-Q1,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,SOT-23-6,100.0,1.5,8000.0,5.5,16.0,0.18,6.0,ACTIVE
TPD4E05U06,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,40.0,0.5,12000.0,2.5,10.0,0.101,10.0,ACTIVE
TPD1E05U06,5.5,PDF datasheet,HTML datasheet,1.0,Uni-Directional,"DFN1006,SOD523",40.0,0.5,12000.0,2.5,10.0,0.039,2.0,ACTIVE
TPD4E1B06,5.5,PDF datasheet,HTML datasheet,4.0,Bi-directional,"SC70-6,SOT-5X3",45.0,0.7,12000.0,3.0,10.9,0.137,6.0,ACTIVE
TPD4E1U06,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,"SC70-6,SOT-23",45.0,0.8,15000.0,3.0,13.0,0.13,6.0,ACTIVE
TPD5E003,5.5,PDF datasheet,HTML datasheet,5.0,Uni-Directional,,40.0,9.0,15000.0,3.0,13.0,0.162,6.0,ACTIVE
TPD1E6B06,5.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN0603,50.0,6.0,15000.0,3.8,10.0,0.023,2.0,ACTIVE
TPD4E101,5.5,PDF datasheet,HTML datasheet,4.0,Bi-directional,DFN0603,40.0,4.8,15000.0,3.0,13.0,0.113,4.0,ACTIVE
TPD1E10B06,5.5,PDF datasheet,HTML datasheet,1.0,Bi-directional,"DFN1006,SOD523",90.0,12.0,30000.0,6.0,10.0,0.033,2.0,ACTIVE
TPD1E10B09,9.0,PDF datasheet,HTML datasheet,1.0,Bi-directional,DFN1006,90.0,10.0,20000.0,4.5,13.0,0.078,2.0,ACTIVE
TPD2EUSB30A,3.6,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-9X3,45.0,0.7,8000.0,5.0,8.0,0.152,3.0,ACTIVE
TPD4EUSB30,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,USON,45.0,0.8,8000.0,5.0,8.0,0.258,10.0,ACTIVE
TPD2EUSB30,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-9X3,45.0,0.7,8000.0,5.0,8.0,0.167,3.0,ACTIVE
TPD2E001-Q1,5.5,PDF datasheet,-,2.0,Uni-Directional,SOT-5X3,100.0,1.5,8000.0,,16.0,0.194,5.0,ACTIVE
TPD2S017,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,SOT-23-6,,1.0,11000.0,6.0,14.0,0.148,6.0,ACTIVE
TPD2E009,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SOT-23-3,SOT-9X3",45.0,0.7,8000.0,5.0,8.0,0.109,3.0,ACTIVE
TPD2E007,13.0,PDF datasheet,HTML datasheet,2.0,Bi-directional,"LGA (PicoStar),SC70-3",0.27,10.0,8000.0,4.5,20.0,0.294,"3,4",ACTIVE
TPD4S010,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,25.0,0.8,8000.0,2.5,20.0,0.266,10.0,ACTIVE
TPD4S012,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,DFN2510,60.0,0.8,10000.0,3.0,8.0,0.159,6.0,ACTIVE
TPD8S009,5.5,PDF datasheet,HTML datasheet,8.0,Uni-Directional,WSON,25.0,0.8,8000.0,2.5,20.0,0.888,15.0,ACTIVE
TPD4S009,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,"SC70-6,SOT-23-6,USON,VSSOP",25.0,0.8,8000.0,2.5,20.0,0.099,"6,10",ACTIVE
TPD2E001,5.5,PDF datasheet,HTML datasheet,2.0,Uni-Directional,"SOT-23,SOT-5X3,USON,WSON",100.0,1.5,8000.0,,16.0,0.121,"4,5,6",ACTIVE
TPD3E001,5.5,PDF datasheet,HTML datasheet,3.0,Uni-Directional,"SOT-5X3,USON,WSON",100.0,1.5,8000.0,5.5,25.0,0.155,"5,6",ACTIVE
TPD4E002,5.0,PDF datasheet,HTML datasheet,4.0,Uni-Directional,SOT-5X3,25.0,11.0,15000.0,2.5,30.0,0.092,5.0,ACTIVE
TPD4E001,5.5,PDF datasheet,HTML datasheet,4.0,Uni-Directional,"SC70-6,SOT-23-6,SOT-5X3,USON,WSON",100.0,1.5,8000.0,5.5,25.0,0.082,6.0,ACTIVE
TPD6E001,5.5,PDF datasheet,HTML datasheet,6.0,Uni-Directional,"UQFN,WQFN",100.0,1.5,8000.0,,15.0,0.175,"10,12",ACTIVE
UC1611-SP,,PDF datasheet,-,,,"CDIP,LCCC",,,,,,204.517,"8,20",ACTIVE
